acc	evalue_clade1	evalue_clade2
AJQ76117.1	1.2e-184	5.6e-07
AKD10730.1	1.2e-184	5.6e-07
QCS71599.1	1.2e-184	5.6e-07
AHW11590.1	1.6e-184	1.2e-06
AWE27603.1	1.6e-184	1.2e-06
QBM54692.1	1.6e-184	1.2e-06
QGR38278.1	1.6e-184	1.2e-06
ARO92394.1	2.2e-184	2.1e-06
SQI49821.1	2.8e-184	1e-06
QIY49875.1	3e-184	6.6e-07
CEI45015.1	3.4e-184	2.5e-06
QDF09205.1	3.4e-184	2.5e-06
QIL61294.1	3.4e-184	2.5e-06
QJU88896.1	3.4e-184	2.5e-06
QJU93521.1	3.4e-184	2.5e-06
AZT22552.1	3.5e-184	4.3e-06
AZT48986.1	3.5e-184	4.3e-06
AZT53213.1	3.5e-184	4.3e-06
SQH91582.1	3.5e-184	5.1e-06
SQJ36368.1	3.7e-184	2.7e-06
ALI11324.1	4.5e-184	2.6e-09
AGF83303.1	6e-184	4.5e-09
QEC85668.1	6e-184	4.5e-09
AXC83921.1	6.2e-184	3.2e-06
SQI67364.1	6.2e-184	3.2e-06
ACH52949.1	6.7e-184	5.8e-09
AHB46237.1	6.7e-184	5.8e-09
AKC50616.1	6.7e-184	5.8e-09
AMW36400.1	6.7e-184	5.8e-09
QQI12389.1	6.7e-184	5.8e-09
QQJ01030.1	6.7e-184	5.8e-09
AHW17790.1	6.7e-184	1.8e-06
AFH47509.1	6.9e-184	2.8e-08
QQH50246.1	7e-184	2.7e-09
QEC95326.1	7.2e-184	1.3e-06
QIY04124.1	7.2e-184	1.3e-06
ANF76207.1	7.4e-184	1.6e-08
QEO52067.1	7.4e-184	1.6e-08
QJB58697.1	7.4e-184	1.6e-08
QPD09910.1	7.4e-184	1.6e-08
QPD14378.1	7.4e-184	1.6e-08
QPD18774.1	7.4e-184	1.6e-08
QPD23455.1	7.4e-184	1.6e-08
QPD27894.1	7.4e-184	1.6e-08
QPD32359.1	7.4e-184	1.6e-08
AWE43643.1	8.5e-184	3.2e-06
QQH83308.1	8.5e-184	3.2e-06
QQI07639.1	8.5e-184	3.2e-06
AKW05281.1	8.8e-184	4e-08
QEC90921.1	1.2e-183	5.3e-06
QBM65306.1	1.2e-183	1.4e-08
QCC13845.1	1.2e-183	1.4e-08
QGR43678.1	1.2e-183	1.1e-06
ACH77456.1	1.4e-183	2.9e-08
ADO51962.1	1.4e-183	2.9e-08
AHO26667.1	1.4e-183	2.9e-08
AHO30713.1	1.4e-183	2.9e-08
AHO35111.1	1.4e-183	2.9e-08
AHO39542.1	1.4e-183	2.9e-08
AHO43823.1	1.4e-183	2.9e-08
AHO48103.1	1.4e-183	2.9e-08
AHO52653.1	1.4e-183	2.9e-08
AHO56976.1	1.4e-183	2.9e-08
AHO61347.1	1.4e-183	2.9e-08
AHO65677.1	1.4e-183	2.9e-08
AHO70019.1	1.4e-183	2.9e-08
AHO91507.1	1.4e-183	2.9e-08
AHO95831.1	1.4e-183	2.9e-08
AHP00100.1	1.4e-183	2.9e-08
AHP04368.1	1.4e-183	2.9e-08
AHP08697.1	1.4e-183	2.9e-08
AHP12969.1	1.4e-183	2.9e-08
AHP17239.1	1.4e-183	2.9e-08
AHP21577.1	1.4e-183	2.9e-08
AHP25854.1	1.4e-183	2.9e-08
AHP30190.1	1.4e-183	2.9e-08
AHP34486.1	1.4e-183	2.9e-08
AHP38741.1	1.4e-183	2.9e-08
AHP43012.1	1.4e-183	2.9e-08
AHP47351.1	1.4e-183	2.9e-08
AHP49897.1	1.4e-183	2.9e-08
AHP54500.1	1.4e-183	2.9e-08
AHP58798.1	1.4e-183	2.9e-08
AHP62896.1	1.4e-183	2.9e-08
AHP67197.1	1.4e-183	2.9e-08
AHP71436.1	1.4e-183	2.9e-08
AHP75841.1	1.4e-183	2.9e-08
AHP80213.1	1.4e-183	2.9e-08
AHP84584.1	1.4e-183	2.9e-08
AHP88857.1	1.4e-183	2.9e-08
AHP93113.1	1.4e-183	2.9e-08
AHP97398.1	1.4e-183	2.9e-08
AHQ01680.1	1.4e-183	2.9e-08
AHQ05960.1	1.4e-183	2.9e-08
AHQ10235.1	1.4e-183	2.9e-08
AHQ14570.1	1.4e-183	2.9e-08
