acc	evalue	score
QMR75785.1	1.4e-217	735.2
AST82081.1	3.4e-217	734.0
QZE49362.1	3.9e-217	733.8
AKE60792.1	4e-217	733.7
AMH12639.1	5e-217	733.4
AYL63674.1	5e-217	733.4
VEI44070.1	5e-217	733.4
ASV57475.1	5.4e-217	733.3
AEN66982.1	5.6e-217	733.2
QOV78826.1	6.3e-217	733.1
AKK41025.1	6.6e-217	733.0
ALL88041.1	6.6e-217	733.0
APK46028.1	6.6e-217	733.0
AQU94960.1	6.6e-217	733.0
ASJ36154.1	6.6e-217	733.0
AUK08771.1	6.6e-217	733.0
AUZ14679.1	6.6e-217	733.0
AWH68527.1	6.6e-217	733.0
BAX13255.1	6.6e-217	733.0
QDJ64236.1	6.6e-217	733.0
ABE09772.1	7.9e-217	732.7
AQX99071.1	7.9e-217	732.7
AAN83148.1	7.9e-217	732.7
ABG71949.1	7.9e-217	732.7
ABJ03253.1	7.9e-217	732.7
ACB19844.1	7.9e-217	732.7
ADE88453.1	7.9e-217	732.7
ADN48696.1	7.9e-217	732.7
ADR29177.1	7.9e-217	732.7
AER86829.1	7.9e-217	732.7
AER91748.1	7.9e-217	732.7
AID80945.1	7.9e-217	732.7
AIL17634.1	7.9e-217	732.7
AIX65781.1	7.9e-217	732.7
AJB37032.1	7.9e-217	732.7
AJM75980.1	7.9e-217	732.7
AKK35375.1	7.9e-217	732.7
AKK44975.1	7.9e-217	732.7
ALD27599.1	7.9e-217	732.7
ALD32656.1	7.9e-217	732.7
ALD37427.1	7.9e-217	732.7
ALD42406.1	7.9e-217	732.7
ALV66840.1	7.9e-217	732.7
ANJ40298.1	7.9e-217	732.7
ANK34612.1	7.9e-217	732.7
ANR83613.1	7.9e-217	732.7
ANV95565.1	7.9e-217	732.7
AOM72319.1	7.9e-217	732.7
APK36029.1	7.9e-217	732.7
AQV68807.1	7.9e-217	732.7
ASJ28475.1	7.9e-217	732.7
ASO90495.1	7.9e-217	732.7
ASW62070.1	7.9e-217	732.7
ATB80511.1	7.9e-217	732.7
ATB95325.1	7.9e-217	732.7
ATC19685.1	7.9e-217	732.7
ATV11153.1	7.9e-217	732.7
ATX12679.1	7.9e-217	732.7
ATY20551.1	7.9e-217	732.7
AUF93265.1	7.9e-217	732.7
AUG66952.1	7.9e-217	732.7
AUG95763.1	7.9e-217	732.7
AUM10399.1	7.9e-217	732.7
AUN92656.1	7.9e-217	732.7
AUQ39684.1	7.9e-217	732.7
AUY44932.1	7.9e-217	732.7
AUY71673.1	7.9e-217	732.7
AUZ91332.1	7.9e-217	732.7
AVQ78431.1	7.9e-217	732.7
AVV68874.1	7.9e-217	732.7
AVZ56763.1	7.9e-217	732.7
AWR51674.1	7.9e-217	732.7
AWR81873.1	7.9e-217	732.7
AWT03825.1	7.9e-217	732.7
AXG63549.1	7.9e-217	732.7
AXH19596.1	7.9e-217	732.7
AXY46869.1	7.9e-217	732.7
AYO73472.1	7.9e-217	732.7
AYY94620.1	7.9e-217	732.7
AYZ39958.1	7.9e-217	732.7
AZR91360.1	7.9e-217	732.7
BAX18418.1	7.9e-217	732.7
BAX23297.1	7.9e-217	732.7
BBQ42264.1	7.9e-217	732.7
BBQ75768.1	7.9e-217	732.7
BCA47121.1	7.9e-217	732.7
CAA0106112.1	7.9e-217	732.7
CAP78240.1	7.9e-217	732.7
CAR05412.1	7.9e-217	732.7
CAR10598.2	7.9e-217	732.7
CAS11643.1	7.9e-217	732.7
CDH67447.1	7.9e-217	732.7
QAU18973.1	7.9e-217	732.7
QAU80515.1	7.9e-217	732.7
QAY41557.1	7.9e-217	732.7
QBA47775.1	7.9e-217	732.7
QBA53479.1	7.9e-217	732.7
QBR59924.1	7.9e-217	732.7
QBZ10317.1	7.9e-217	732.7
QDB98139.1	7.9e-217	732.7
QDJ73481.1	7.9e-217	732.7
QDN13894.1	7.9e-217	732.7
QDX39080.1	7.9e-217	732.7
QDX46658.1	7.9e-217	732.7
QEI84387.1	7.9e-217	732.7
QEJ93202.1	7.9e-217	732.7
QFI52523.1	7.9e-217	732.7
QHS43838.1	7.9e-217	732.7
QHW38713.1	7.9e-217	732.7
QHW56665.1	7.9e-217	732.7
QIB13104.1	7.9e-217	732.7
QIB97270.1	7.9e-217	732.7
QJF86548.1	7.9e-217	732.7
QJF95683.1	7.9e-217	732.7
QJG03473.1	7.9e-217	732.7
QJG14537.1	7.9e-217	732.7
QJG19315.1	7.9e-217	732.7
QJG22232.1	7.9e-217	732.7
QJG32833.1	7.9e-217	732.7
QJG35742.1	7.9e-217	732.7
QJG42113.1	7.9e-217	732.7
QJG45399.1	7.9e-217	732.7
QJG65192.1	7.9e-217	732.7
QJP26225.1	7.9e-217	732.7
QJP47037.1	7.9e-217	732.7
QJR27659.1	7.9e-217	732.7
QJS63891.1	7.9e-217	732.7
QJS74494.1	7.9e-217	732.7
QJT88944.1	7.9e-217	732.7
QKL31929.1	7.9e-217	732.7
QLK70504.1	7.9e-217	732.7
QMF18384.1	7.9e-217	732.7
QMH60841.1	7.9e-217	732.7
QQX63714.1	7.9e-217	732.7
QRA95394.1	7.9e-217	732.7
QRB14300.1	7.9e-217	732.7
QRB56751.1	7.9e-217	732.7
QSS45551.1	7.9e-217	732.7
SLM08933.1	7.9e-217	732.7
SNU19265.1	7.9e-217	732.7
UAW38970.1	7.9e-217	732.7
