acc	evalue_clade1	score_clade1	evalue_clade2	score_clade2
AJQ76117.1	4.8e-186	631.0	5.3e-06	37.6
AKD10730.1	4.8e-186	631.0	5.3e-06	37.6
QCS71599.1	4.8e-186	631.0	5.3e-06	37.6
AHW11590.1	6.3000000000000005e-186	630.6	8.3e-06	37.0
AWE27603.1	6.3000000000000005e-186	630.6	8.3e-06	37.0
QBM54692.1	6.3000000000000005e-186	630.6	8.3e-06	37.0
QGR38278.1	6.3000000000000005e-186	630.6	8.3e-06	37.0
ARO92394.1	8.8e-186	630.2	1.8e-05	35.9
SQI49821.1	1e-185	629.9	8.7e-06	36.9
SQH91582.1	1.1e-185	629.9	2.6e-05	35.3
QIY49875.1	1.2e-185	629.7	5.6e-06	37.5
AZT22552.1	1.3000000000000001e-185	629.6	1.8e-05	35.8
AZT48986.1	1.3000000000000001e-185	629.6	1.8e-05	35.8
AZT53213.1	1.3000000000000001e-185	629.6	1.8e-05	35.8
CEI45015.1	1.4e-185	629.5	1.7e-05	35.9
QDF09205.1	1.4e-185	629.5	1.7e-05	35.9
QIL61294.1	1.4e-185	629.5	1.7e-05	35.9
QJU88896.1	1.4e-185	629.5	1.7e-05	35.9
QJU93521.1	1.4e-185	629.5	1.7e-05	35.9
SQJ36368.1	1.4e-185	629.5	4.5e-05	34.5
AXC83921.1	2.3e-185	628.8	4.7e-05	34.5
SQI67364.1	2.3e-185	628.8	4.7e-05	34.5
ALI11324.1	2.7000000000000002e-185	628.6	6.4e-08	43.9
AHW17790.1	2.7000000000000002e-185	628.6	9.3e-06	36.8
QEC95326.1	3e-185	628.4	1.4e-05	36.3
QIY04124.1	3e-185	628.4	1.4e-05	36.3
AGF83303.1	3.6e-185	628.1	8.4e-08	43.5
QEC85668.1	3.6e-185	628.1	8.4e-08	43.5
QQH50246.1	3.8e-185	628.1	4e-08	44.6
ACH52949.1	4e-185	628.0	9.6e-08	43.3
AHB46237.1	4e-185	628.0	9.6e-08	43.3
AKC50616.1	4e-185	628.0	9.6e-08	43.3
AMW36400.1	4e-185	628.0	9.6e-08	43.3
QQI12389.1	4e-185	628.0	9.6e-08	43.3
QQJ01030.1	4e-185	628.0	9.6e-08	43.3
ANF76207.1	4.4e-185	627.9	3.4e-07	41.5
QEO52067.1	4.4e-185	627.9	3.4e-07	41.5
QJB58697.1	4.4e-185	627.9	3.4e-07	41.5
QPD09910.1	4.4e-185	627.9	3.4e-07	41.5
QPD14378.1	4.4e-185	627.9	3.4e-07	41.5
QPD18774.1	4.4e-185	627.9	3.4e-07	41.5
QPD23455.1	4.4e-185	627.9	3.4e-07	41.5
QPD27894.1	4.4e-185	627.9	3.4e-07	41.5
QPD32359.1	4.4e-185	627.9	3.4e-07	41.5
QEC90921.1	4.7e-185	627.8	3.2e-05	35.0
QGR43678.1	5e-185	627.7	1e-05	36.7
AKW05281.1	5.2000000000000004e-185	627.6	1.5e-07	42.8
AWE43643.1	5.7e-185	627.5	0.00018	32.6
QQH83308.1	5.7e-185	627.5	0.00018	32.6
QQI07639.1	5.7e-185	627.5	0.00018	32.6
ASG52887.1	5.8e-185	627.5	4.2e-05	34.6
