protein_accession	CAZy_family	CAZy_ID	axial_equatorial
ADT75640.1	X608	4816078.0	axial
CAD19991.1	X608	4816079.0	axial
WP_000864940.1	X608	4816080.0	axial
AFW04706.1	X608	4816776.0	
AAM27728.1	X611	4905813.0	axial
AAM27801.1	X611	4905814.0	axial
AAM27693.1	X611	4905815.0	axial
AAM27748.1	X611	4905816.0	axial
AAA97573.1	X611	4905817.0	axial
AAM27662.1	X611	4905818.0	equatorial
AAC45857.1	X611	4905819.0	axial
CBN82200.1	X606	4815676.0	axial
CAI33983.1	X608	4816836.0	
CAI33966.2	X608	4816835.0	
CAI34407.1	X608	4816834.0	
ADI77033.1	X606	4815682.0	axial
CAI32772.1	X608	4816084.0	axial
AAM27546.1	X608	4816081.0	axial
ABF01010.1	X608	4816082.0	axial
ACK44379.1	X608	4816086.0	axial
BAQ00795.1	X605	4813247.0	equatorial
ACD37037.1	X605	4815749.0	equatorial
ACD37046.1	X605	4815750.0	equatorial
CAI34008.1	X617	4853988.0	equatorial
CAI33631.1	X612	4819174.0	axial
ACA24811.1	X617	4905820.0	equatorial
ACA24821.1	X617	4905821.0	equatorial
CAI33700.1	X612	4819205.0	axial
CAI32843.1	X612	4819254.0	axial
ADQ37335.1	X617	4854065.0	equatorial
ADQ37322.1	X617	4854068.0	equatorial
CAI32823.1	X612	4819308.0	axial
AFW04867.1	X617	4854072.0	
CAI34254.1	X609	4816925.0	equatorial
CAI34177.1	X609	4816924.0	equatorial
ADN43894.1	X617	4854077.0	equatorial
BAQ02048.1	X608	4816083.0	axial
AAZ85713.1	X614	4905822.0	equatorial
AHB32490.1	X608	4816816.0	
CAI34150.1	X607	4815869.0	equatorial
CAI34124.1	X607	4815850.0	equatorial
CAI34369.1	X613	4821025.0	
AHB32411.1	X610	4817710.0	axial
AAM27766.1	X614	4905823.0	equatorial
AAM27645.1	X614	4905824.0	
AFN02899.1	X606	4815733.0	axial
CAI34217.1	X609	4816943.0	equatorial
BAQ00569.1	X606	4815665.0	axial
CAI34198.1	X609	4816945.0	equatorial
CAI34236.1	X609	4816946.0	equatorial
CAI34348.1	X613	4821070.0	equatorial
CAI34680.1	X607	4815877.0	
CAI34657.1	X613	4821078.0	equatorial
AAM27615.1	X614	4905825.0	equatorial
AHB32510.1	X608	4816085.0	axial
BAQ00780.1	X611	4818397.0	axial
CDF66396.1	X611	4818457.0	axial
AHB32861.1	X617	4823202.0	
AHB32715.1	X617	4828968.0	equatorial
AHB32637.1	X617	4828966.0	equatorial
BAQ02088.1	X605	4813284.0	equatorial
CAI34080.1	X613	4821119.0	equatorial
AFW04847.1	X605	4813273.0	equatorial
CAI34328.1	X613	4821141.0	equatorial
CAI34519.1	X613	4821142.0	equatorial
CAI34286.1	X613	4821147.0	equatorial
AAT77177.1	X606	4815748.0	axial
CAI33441.1	X613	4821162.0	equatorial
AFC91419.1	X610	4817772.0	axial
AAX07747.1	X610	4905826.0	axial
ABX51892.1	X617	4905827.0	equatorial
CAI34310.1	X613	4821174.0	equatorial
AFC91458.1	X610	4817781.0	axial
AHB32215.1	X617	4823242.0	equatorial
BAQ01024.1	X617	4828858.0	equatorial
AFW04883.1	X617	4828867.0	equatorial
CAI34269.1	X612	4819369.0	axial
AHB32799.1	X617	4823258.0	
AAM27782.1	X614	4905828.0	axial
ACA24764.1	X605	4815752.0	equatorial
CAI33718.1	X617	4829408.0	equatorial
AQU71752.1	X617	4828995.0	equatorial
ACA24754.1	X605	4815751.0	equatorial
BAQ00622.1	X617	4829029.0	equatorial
AHB32563.2	X605	4813336.0	
CAI33309.1	X613	4821216.0	equatorial
ADC54950.1	X612	4819377.0	axial
AFW04820.1	X617	4829433.0	equatorial
BAQ00687.1	X612	4819407.0	axial
