DATASET_COLORSTRIP		
SEPARATOR TAB		
DATASET_LABEL	class	
COLOR	#ff0000	
DATA		
MCB1143950.1	#FF0000	1
MCP5500567.1	#FF0000	1
MCB1179104.1	#FF0000	1
MCC5814120.1	#FF0000	1
NCN08469.1	#FF0000	1
PJE01795.1	#FF0000	1
MCG9874971.1	#FF0000	1
WP_108975718.1	#FF0000	1
WP_135623931.1	#FF0000	1
WP_135759675.1	#FF0000	1
WP_135762442.1	#FF0000	1
WP_242935364.1	#FF0000	1
WP_108959590.1	#FF0000	1
WP_239671316.1	#FF0000	1
MBL0953379.1	#FF0000	1
WP_135620982.1	#FF0000	1
WP_012388005.1	#FF0000	1
WP_135741370.1	#FF0000	1
WP_135637264.1	#FF0000	1
WP_135751132.1	#FF0000	1
WP_135571033.1	#FF0000	1
WP_100791452.1	#FF0000	1
WP_100742287.1	#FF0000	1
WP_135692545.1	#FF0000	1
WP_020778184.1	#FF0000	1
WP_205269072.1	#FF0000	1
WP_135577523.1	#FF0000	1
WP_135637161.1	#FF0000	1
WP_205286194.1	#FF0000	1
WP_015681258.1	#FF0000	1
WP_002973026.1	#FF0000	1
MCB1190964.1	#FF0000	1
MCE9499938.1	#FF0000	1
MCC6275466.1	#FF0000	1
MBE7410810.1	#FF0000	1
MBK7058043.1	#FF0000	1
MBP9889447.1	#FF0000	1
MBP7284887.1	#FF0000	1
MBK8399083.1	#FF0000	1
WP_135592425.1	#FF0000	1
WP_100765207.1	#FF0000	1
WP_118968184.1	#FF0000	1
WP_135690430.1	#FF0000	1
WP_069607258.1	#FF0000	1
WP_205276024.1	#FF0000	1
WP_205280653.1	#FF0000	1
EMF41496.1	#FF0000	1
WP_020779496.1	#FF0000	1
EMI61738.1	#FF0000	1
WP_118965756.1	#FF0000	1
WP_100763697.1	#FF0000	1
WP_020986593.1	#FF0000	1
WP_002996967.1	#FF0000	1
EMJ96041.1	#FF0000	1
WP_134788267.1	#FF0000	1
WP_004499901.1	#FF0000	1
WP_078127880.1	#FF0000	1
WP_011670128.1	#FF0000	1
ALO25540.1	#FF0000	1
WP_100714005.1	#FF0000	1
WP_135766159.1	#FF0000	1
WP_135814740.1	#FF0000	1
EPG75451.1	#FF0000	1
WP_081654362.1	#FF0000	1
WP_010569832.1	#FF0000	1
WP_135699463.1	#FF0000	1
TGK04121.1	#FF0000	1
TGJ99221.1	#FF0000	1
WP_167882421.1	#FF0000	1
WP_100766736.1	#FF0000	1
TGM86442.1	#FF0000	1
WP_036088708.1	#FF0000	1
WP_135680716.1	#FF0000	1
WP_100723891.1	#FF0000	1
TGK38992.1	#FF0000	1
WP_086448813.1	#FF0000	1
WP_135613406.1	#FF0000	1
WP_108927304.1	#FF0000	1
WP_100705939.1	#FF0000	1
WP_135757348.1	#FF0000	1
WP_193406187.1	#00FF00	2
WP_241650091.1	#00FF00	2
WP_214236379.1	#00FF00	2
SER05086.1	#00FF00	2
MBT0719189.1	#00FF00	2
WP_241625377.1	#00FF00	2
WP_067422262.1	#00FF00	2
HCM64419.1	#00FF00	2
WP_180558456.1	#00FF00	2
WP_224050674.1	#00FF00	2
MTC70964.1	#00FF00	2
WP_047255857.1	#00FF00	2
WP_008913606.1	#00FF00	2
WP_126462632.1	#00FF00	2
WP_154599587.1	#00FF00	2
WP_154601297.1	#00FF00	2
WP_036967010.1	#00FF00	2
WP_036979188.1	#00FF00	2
WP_036950735.1	#00FF00	2
WP_224059615.1	#00FF00	2
WP_154638285.1	#00FF00	2
MBP6083054.1	#00FF00	2
WP_040132600.1	#00FF00	2
WP_219245127.1	#00FF00	2
EJD6463660.1	#00FF00	2
EJD6048945.1	#00FF00	2
WP_166686671.1	#00FF00	2
WP_210843220.1	#00FF00	2
CAC9205931.1	#00FF00	2
WP_115168207.1	#00FF00	2
WP_110592785.1	#00FF00	2
WP_125895043.1	#00FF00	2
EFE51464.1	#00FF00	2
WP_004265133.1	#00FF00	2
WP_166290816.1	#00FF00	2
WP_162120865.1	#00FF00	2
PHM58603.1	#00FF00	2
WP_169923510.1	#00FF00	2
WP_228857987.1	#00FF00	2
WP_169926658.1	#00FF00	2
WP_228863885.1	#00FF00	2
WP_193756974.1	#00FF00	2
WP_238098270.1	#00FF00	2
CDG23224.1	#00FF00	2
WP_237385988.1	#00FF00	2
SFU90809.1	#00FF00	2
WP_092521231.1	#00FF00	2
WP_099142310.1	#00FF00	2
WP_193851528.1	#00FF00	2
WP_053014230.1	#00FF00	2
WP_189760044.1	#00FF00	2
WP_099131901.1	#00FF00	2
WP_099117353.1	#00FF00	2
OKP01925.1	#00FF00	2
QCT19259.1	#00FF00	2
WP_204191597.1	#00FF00	2
HAT3903853.1	#00FF00	2
WP_066282801.1	#00FF00	2
WP_034249249.1	#00FF00	2
WP_225506758.1	#00FF00	2
PAV06972.1	#00FF00	2
WP_245677285.1	#00FF00	2
AJR01464.1	#00FF00	2
