acc	evalue	score
AQY49930.1	3e-137	470.7
CBW87137.1	1.8e-131	451.7
QYF83205.1	5.8e-127	436.8
ASS94678.1	6.1e-126	433.5
ALS24163.1	1.8e-112	389.1
AHI57331.1	6.6e-110	380.6
AIS66560.1	6.6e-110	380.6
SNV49680.1	6.6e-110	380.6
SNV99545.1	6.6e-110	380.6
QDU99037.1	2e-109	379.0
AFY66785.1	7.5e-109	377.2
ADY59231.1	9.3e-109	376.8
AQS82308.1	1.1e-106	370.0
AQS82307.1	1.8e-106	369.3
AYA70200.1	3.7e-106	368.3
QKE95851.1	5.5e-106	367.7
AYW39892.1	6e-106	367.6
AAG06542.1	9e-106	367.0
AGV61237.1	9e-106	367.0
AGV63792.1	9e-106	367.0
AGY63509.1	9e-106	367.0
AGY73889.1	9e-106	367.0
ALY69468.2	9e-106	367.0
ALZ14529.2	9e-106	367.0
AOX25944.1	9e-106	367.0
AOX32181.1	9e-106	367.0
AOX38804.1	9e-106	367.0
APB56271.1	9e-106	367.0
AQS82304.1	9e-106	367.0
AQS82306.1	9e-106	367.0
ARU38109.1	9e-106	367.0
ASD19072.1	9e-106	367.0
AVZ18671.1	9e-106	367.0
AXR28040.1	9e-106	367.0
AXS89844.1	9e-106	367.0
AZN87431.1	9e-106	367.0
AZN93210.1	9e-106	367.0
CDO82549.1	9e-106	367.0
CTQ36743.1	9e-106	367.0
QAS72470.1	9e-106	367.0
QBF61688.1	9e-106	367.0
QCP76191.1	9e-106	367.0
QDD37054.1	9e-106	367.0
QDR16167.1	9e-106	367.0
QGQ03130.1	9e-106	367.0
QJH82787.1	9e-106	367.0
QKF02391.1	9e-106	367.0
QKK84938.1	9e-106	367.0
QKS40785.1	9e-106	367.0
AQS82305.1	1.6e-105	366.2
QXI49217.1	5.1e-103	357.9
AIG62591.1	7.9e-103	357.3
ULI59396.1	7.9e-103	357.3
BAQ00780.1	8.2e-103	357.3
CBJ83427.1	1.3e-102	356.6
QIR87382.1	2.4e-102	355.7
QBM16388.1	4.7e-102	354.7
AMM19181.1	1.1e-100	350.2
QOS16712.1	1.2e-100	350.1
QOS25493.1	1.2e-100	350.1
QOS21039.1	1.7e-100	349.6
QOS26973.1	1.7e-100	349.6
QRI84586.1	4.2e-100	348.3
BBH47479.1	8.4e-100	347.3
QCI11300.1	1.1e-99	346.9
ULF91352.1	2.5e-98	342.5
SCE67653.1	4.5e-98	341.6
QDA70869.1	5.9e-97	337.9
SDR78575.1	7.4e-97	337.6
ACI19873.1	1.1e-96	337.1
QKF85909.1	1.6e-96	336.5
UBQ03020.1	2.9e-96	335.7
QAV70544.1	3e-96	335.6
AWY01067.1	4.3e-96	335.1
AWY02122.1	4.3e-96	335.1
BCL16649.1	4.4e-96	335.1
QYX50578.1	5.1e-96	334.9
BCA85008.1	6.5e-96	334.5
UFA51503.1	1.2e-95	333.7
QAA76348.1	3e-95	332.4
QUY54261.1	8.7e-95	330.8
UEQ78733.1	8.7e-95	330.8
AGA32392.1	1.2e-94	330.4
UNK70114.1	1.3e-94	330.2
QHU87895.1	2.6e-94	329.3
UFU14507.1	4.6e-94	328.4
UPO98530.1	5.2e-94	328.2
QKS17607.1	1.7e-93	326.5
UAT30487.1	3.5e-93	325.5
UQI32756.1	7.4e-93	324.5
QKS17609.1	1.1e-92	323.8
BAY83951.1	1.2e-92	323.7
QNI30767.1	6.6e-92	321.3
QCU77548.1	7e-92	321.2
CDF66396.1	1.7e-91	320.0
SBN62179.1	2.4e-91	319.5
QGA49109.1	3e-91	319.1
UBD14865.1	9e-91	317.6
SDU71701.1	1e-90	317.4
AHN77561.1	1.4e-90	316.9
ANC44551.1	1.4e-90	316.9
QDH61802.1	1.4e-90	316.9
ABF42309.1	4.9e-90	315.1
BBM62283.1	5.8e-90	314.9
BBM62317.1	5.8e-90	314.9
BAG07826.1	1.5e-89	313.5
QKH79546.1	1.5e-89	313.5
QOK25860.1	2.3e-89	313.0
AHK17447.1	1.2e-88	310.6
AGB27738.1	4.5e-87	305.4
QFU03782.1	5.1e-87	305.2
SBV32775.1	2.1e-86	303.2
AUI56185.1	2.2e-86	303.1
QCR67402.1	8.8e-86	301.1
QKL18858.1	8.8e-86	301.1
QMX45887.1	8.8e-86	301.1
QTG76998.1	8.8e-86	301.1
QTO57074.1	8.8e-86	301.1
QNE44160.1	4.6e-85	298.8
AGK55919.1	1.1e-84	297.5
QQA06895.1	1.8e-84	296.8
QLE02361.1	2.2e-84	296.5
QNB05730.1	2.9e-84	296.1
SNV42449.1	4.5e-84	295.5
QSW34108.1	1.4e-83	293.9
QWW80966.1	1.4e-83	293.9
QCI60205.1	4e-83	292.4
AKU16106.1	4.7e-82	288.9
AXT61831.1	5e-82	288.8
AZA51878.1	5.6e-82	288.6
QCE41153.1	6.2e-82	288.5
ARO72660.1	5.5e-81	285.3
ARO72679.1	5.5e-81	285.3
ARO72859.1	5.5e-81	285.3
ARO72890.1	5.5e-81	285.3
ARO72909.1	5.5e-81	285.3
ARO72940.1	5.5e-81	285.3
ARO72957.1	5.5e-81	285.3
ARO73181.1	5.5e-81	285.3
ARO73200.1	5.5e-81	285.3
ARO73217.1	5.5e-81	285.3
ARO73377.1	5.5e-81	285.3
ARO73396.1	5.5e-81	285.3
ARO73415.1	5.5e-81	285.3
ARO73434.1	5.5e-81	285.3
ARO73452.1	5.5e-81	285.3
ARO73470.1	5.5e-81	285.3
ARO73489.1	5.5e-81	285.3
ARO73507.1	5.5e-81	285.3
ATE88483.1	5.5e-81	285.3
QKQ50565.1	6.9e-81	285.0
AYJ46315.1	7.2e-81	284.9
AZN67665.1	1.8e-80	283.6
QKH44015.1	5.3e-80	282.1
QKH48844.1	5.3e-80	282.1
UNK78555.1	1.7e-79	280.4
QEI74672.1	2.1e-79	280.1
AIU05233.1	3.5e-79	279.4
AIZ49246.1	3.5e-79	279.4
ARG30125.1	3.5e-79	279.4
QFV02241.1	3.5e-79	279.4
BCD67951.1	7.5e-79	278.3
APX77714.1	1.3e-78	277.5
UJP11782.1	2.2e-78	276.8
QSS99780.1	2.4e-78	276.6
UJP08911.1	2.4e-78	276.6
AXB16540.1	3e-78	276.3
QSB24060.1	5.8e-78	275.4
UIJ44435.1	2.3e-77	273.4
AXA73598.1	5.8e-77	272.1
ALY76432.1	5.8e-76	268.8
AOP57308.1	5.8e-76	268.8
ALZ90506.1	5.9e-76	268.8
VEG73179.1	6.8e-76	268.5
UGB41910.1	1.3e-75	267.6
AJA09013.1	5e-74	262.4
UIN03331.1	8.6e-74	261.6
AGA80583.1	5.6e-73	258.9
BDF34562.1	9.7e-72	254.9
BDF38564.1	9.7e-72	254.9
QIL39214.1	1.2e-71	254.6
QSX09272.1	1.2e-71	254.6
UCR83478.1	6.4e-71	252.2
AZV58176.1	5.3e-70	249.1
UAG17508.1	1.1e-69	248.1
QVM92795.1	2.2e-69	247.1
ADK16459.1	2.7e-69	246.8
AGY75537.1	2.7e-69	246.8
ALU35703.1	2.7e-69	246.8
QXE18503.1	2.7e-69	246.8
BAH07862.1	3.1e-69	246.6
EDK35181.1	3.1e-69	246.6
QDW73658.1	1.3e-68	244.6
APM40415.1	5.2e-68	242.6
QNU66800.1	8.3e-68	241.9
ATP49064.1	9.5e-68	241.7
AKN26582.1	9.6e-68	241.7
QLY79104.1	3.8e-67	239.7
AXP07111.1	4.1e-67	239.6
ALJ61580.1	5.9e-67	239.1
AUZ60666.1	2.2e-66	237.2
QNV66587.1	2.2e-66	237.2
UBD67369.1	2.3e-66	237.2
AZB07643.1	2.9e-66	236.8
