protein_accession	CAZy_family	CSDB_Linear_corrected
AHB32215.1	X617	-3)[aDGalp(1-6),Ac(1-2)]aDGlcpN(1-3)[Ac(1-2)]bDGalpN(1-
AHB32538.1		-4)[lR3HOBut(1-3)bDFucp3N(1-3)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGalpN(1-3)]aDGalp(1-6)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
AHB32563.2	X605	
AHB32666.1		
AHB32242.2		-3)[Ac(1-2)aLFucpN(1-4),Ac(1-2)]aDGalpNA(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
AHB32267.1		
AHB32888.2	X617	-2)[bLRhap(1-4)[Ac(1-2)]bDGlcpN(1-3)]aLRhap(1-2)aLRhap(1-3)aLRhap(1-3)[Ac(1-2)]aDGlcpN(1-
AHB32311.1		
AHB32411.1	X610	-2)[Ac(1-2)aDManpN(1-3)]aLRhap(1-2)aLRhap(1-3)aLRhap(1-3)[Ac(1-2)]aDGlcpN(1-
AHB32510.1	X608	-4)[bDGlcp(1-6),Ac(1-2)]bDGalpN(1-3)aDGalp(1-6)bDGalp(1-3)[Ac(1-2)]aDGalpN(1-
AHB32774.1		-3)[lR3HOBut(1-3)bDQuip3N(1-6)[Ac(1-2)]aDGlcpN(1-4),Ac(1-2)]bDGalpN(1-3)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
AHB32386.1		
AHB32687.1	X631	
AHB32490.1	X608	
AHB32715.1	X617	-3)[lR3HOBut(1-3)bDQuip3N(1-6)[Ac(1-2)]aDGlcpN(1-4),Ac(1-2)]bDGalpN(1-3)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
AHB32462.1	X617	
AHB32334.1	X617	-3)[Ac(1-2)bDManpN(1-4)aDGalp(1-4)]bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
AHB32832.1		
AHB32614.2		
AHB32283.1	X617	
AHB32438.2		-3)[aDGalp(1-6)]bDGlcp(1-3)[Ac(1-2)]bDGalpN(1-
AHB32637.1	X617	-3)[lR3HOBut(1-3)bDQuip3N(1-6)[Ac(1-2)]aDGlcpN(1-4),Ac(1-2)]bDGalpN(1-3)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
AHB32586.1		-4)[lS3HOBut(1-5)]bXLegp(2-6)[Ac(1-2)]aDGlcpN(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]aDGlcpN(1-
AHB32861.1	X617	
AHB32799.1	X617	
AHB32357.1		
CAI32705.1		-4)[Ac(1-3),Ac(1-2)]aDGalpA(1-3)aDGalpA(1-3)[Ac(1-2)]aDFucpN4N(1-
CAI32727.1		-3)[aDGlcpA(1-6)aDGlcp(1-2)]aLRhap(1-3)aLRhap(1-3)bLRhap(1-4)bDGlcp(1-
CAI32772.1	X608	-4)[x?Pyr(2-3:2-2)]aDGalp(1-3)[Ac(1-2)]bDManpN(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]aDGalpN(1-
CAI32797.1		-4)bDGlcp(1-4)[Ac(1-2)aL6dTalpN(1-2)bDGlcpA(1-3),Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bD6dxylHexpN-4-ulo(1-
CAI32823.1	X612	-3)aLRhap(1-3)xDRib-ol(5-P-2)aDGalp(1-3)aDGlcp(1-
CAI32843.1	X612	-3)aLRhap(1-4)xDRib-ol(5-P-2)aDGalp(1-3)aDGlcp(1-
CAI32935.1		-3)[Ac(1-2)aDGlcpN(1-2)aLRhap(1-4),Ac(1-2)]bDGalpN(1-6)[bDGalp(1-2)]aDGalp(1-3)[Ac(1-2)]bLRhap(1-4)bDGlcp(1-
CAI32867.1		-3)[Ac(1-2)aDGlcpN(1-2)aLRhap(1-4),Ac(1-2)]bDGalpN(1-6)aDGalp(1-3)bLRhap(1-4)bDGlcp(1-
CAI32889.1		-4)[bDRibf(1-4)aLRhap(1-3)]aDGlcp(1-P-6)[Ac(1-2)]aDGlcpN(1-2)aLRhap(1-2)bLRhap(1-4)bDGlcp(1-
CAI32910.1		-4)[bDRibf(1-4)aLRhap(1-3)]aDGlcp(1-P-6)[Ac(1-2)]aDGlcpN(1-2)aLRhap(1-2)bLRhap(1-4)bDGlcp(1-
CAI32957.1	X613	-4)aDGlcp(1-4)aDGalp(1-4)bDGlcpA(1-4)bDGlcp(1-
CAI32973.1		-4)aDGlcp(1-4)aDGlcpA(1-3)aDGalp(1-3)[Ac(1-2)]bDManpN(1-4)bDGlcp(1-
