query_id	hmm_name	evalue	score
AHB32215.1	X617_2	1.1e-93	311.1
AHB32538.1	X615	0.01	11.4
AHB32563.2	X605_1	3.5e-87	289.9
AHB32666.1	X617	7.7e-41	137.4
AHB32242.2	X617	1.9e-08	30.9
AHB32888.2	X617	1.4e-34	116.8
AHB32311.1	X617	2.7e-37	125.7
AHB32411.1	X610	4.7e-110	365.2
AHB32510.1	X608_4	6.5e-105	348.5
AHB32774.1	X617	5.4e-21	72.2
AHB32687.1	X631	6.8e-99	328.5
AHB32490.1	X608_4	1.6e-112	373.6
AHB32462.1	X617_1	1e-61	205.9
AHB32334.1	X617	4.5e-47	157.9
AHB32832.1	X617	1.6e-35	119.9
AHB32614.2	X617	8e-17	58.4
AHB32283.1	X617	6.9e-43	144.1
AHB32438.2	X617	2.8e-14	50.1
AHB32637.1	X617_3	6.9e-102	338.0
AHB32586.1	X612	3.6e-16	55.9
AHB32861.1	X617_2	2.6e-102	339.4
AHB32799.1	X617_2	1.3e-91	304.3
AHB32357.1	X608	0.0078	12.0
CAI32705.1	X608	9.8e-06	21.5
CAI32727.1	X615	3.1e-09	32.9
CAI32772.1	X608_3	5.2e-161	533.3
CAI32823.1	X612	1.1e-116	387.1
CAI32843.1	X612	5.8e-117	388.0
CAI32867.1	X632	1.4e-126	420.0
CAI32910.1	X632	0.041	9.9
CAI32935.1	X632	1.4e-126	420.0
CAI32957.1	X613	3.3e-53	178.1
CAI32973.1	X615	1.2e-15	54.1
CAI32993.1	X615	3.7e-15	52.5
CAI33011.1	X615	1.1e-14	50.9
CAI33029.1	X615	1.1e-15	54.2
CAI33105.1	X634	8.4e-12	41.6
CAI33048.1	X634	9.8e-12	41.4
CAI34733.1	X634	8.3e-12	41.6
CAI33084.1	X634	1.2e-11	41.1
CAI33207.1	X615	4.1e-08	29.2
CAI33128.1	X615	4.3e-07	25.9
CAI33149.1	X615	4.1e-08	29.2
CAI33169.1	X615	4.1e-08	29.2
CAI33188.1	X615	4.3e-07	25.9
CAI33278.1	X615	1.9e-07	27.0
CAI33226.1	X615	3.8e-07	26.0
CAI33252.1	X615	1.9e-07	27.0
CAI33309.1	X613	2.1e-86	287.3
CAI33324.1	X615	1.8e-11	40.3
CAI33412.1	X632	3.7e-79	263.8
CAI33343.1	X632	3.8e-79	263.8
CAI33366.1	X615	9.6e-12	41.2
CAI33389.1	X615	9.6e-12	41.2
CAI33466.1	X614	1.6e-12	43.9
CAI33441.1	X613	7.5e-96	318.4
CAI33515.1	X615	2.3e-08	30.1
CAI33491.1	X615	4.7e-08	29.0
CAI33610.1	X615	0.015	10.9
CAI33537.1	X615	0.021	10.4
CAI33561.1	X615	0.0013	14.4
CAI33585.1	X615	0.0013	14.4
CAI33700.1	X612	6.4e-118	391.2
CAI33631.1	X612	2.3e-121	402.5
CAI33652.1	X614	3.2e-09	33.0
CAI33675.1	X614	3.2e-09	33.0
CAI33718.1	X617_3	7.3e-91	301.8
CAI33745.1	X614	1.2e-07	27.9
CAI33798.1	X612	2.7e-16	56.3
CAI33774.1	X612	2.7e-16	56.3
CAI33862.1	X607	4.4e-07	26.0
CAI33817.1	X607	1.7e-08	30.6
CAI33840.1	X614	0.0061	12.3
CAI33941.1	X614	3.5e-11	39.5
CAI33890.1	X614	2.5e-10	36.6
CAI33915.1	X614	3.5e-11	39.5
CAI33983.1	X608_2	7.7e-189	625.4
CAI33966.2	X608_2	7.7e-189	625.4
CAI34008.1	X617_5	4.5e-124	411.4
CAI34057.2	X615	1.6e-08	30.6
CAI34032.1	X615	1.3e-08	30.9
CAI34080.1	X613	1.6e-99	330.5
CAI34150.1	X607	4.5e-112	371.8
CAI34124.1	X607	4.5e-112	371.8
CAI34254.1	X609	2.6e-116	385.7
CAI34177.1	X609	2.6e-116	385.7
CAI34198.1	X609	4.7e-107	355.2
CAI34217.1	X609	2.3e-108	359.5
CAI34236.1	X609	4.9e-107	355.1
CAI34269.1	X612	4.3e-92	306.1
CAI34348.1	X613	3.4e-106	352.5
CAI34286.1	X613	6.4e-98	325.3
CAI34310.1	X613	3.7e-94	312.9
CAI34328.1	X613	2.7e-98	326.5
CAI34369.1	X613	1.5e-111	370.1
CAI34407.1	X608_2	9.9e-189	625.0
CAI34436.1	X617	1e-11	41.6
CAI34454.1	X632	0.044	9.8
CAI34498.1	X614	0.092	8.5
CAI34519.1	X613	2.7e-98	326.5
CAI34544.1	X613	4.8e-50	167.6
CAI34753.1	X615	1.9e-07	27.0
CAI34587.1	X617	9.6e-21	71.3
CAI34613.1	X615	1.6e-07	27.3
CAI34657.1	X613	8.7e-106	351.1
CAI34641.1	X613	1.2e-46	156.5
CAI34680.1	X607	4.3e-106	352.1
CAB63298.1	X633	3.2e-97	322.8
AKA20935.1	X608	9.2e-11	38.1
AKA20948.1	X633	1.8e-68	228.1
AKA20966.1	X608	5e-10	35.7
AEP25500.1	X631	3.7e-12	42.9
AEP25477.1	X615	1.8e-13	46.9
AKL88154.1	X608	8.3e-11	38.3
CDF66396.1	X611_1	5.9e-103	342.2
ADX97403.1	X615	0.014	11.0
ACV52983.1	X633	1.3e-96	320.8
AFV46136.1	X617_1	9.7e-79	261.9
ACV53000.1	X633	7e-97	321.7
ADC54929.1	X617_1	1.4e-40	136.4
ADC54941.1	X617	4.3e-25	85.6
ACH97152.1	X617	1.5e-17	60.8
AAT85653.1	X617	1.9e-43	146.0
BAQ00569.1	X606_1	1.2e-107	357.6
BAQ00581.1	X608_1	2.5e-248	821.3
AAD44158.1	X633	1.9e-105	349.9
BAQ00622.1	X617_1	3.2e-88	293.0
ADV17650.1	X634	1.5e-98	327.3
BAQ00634.1	X617	1.4e-31	106.9
BAQ02138.1	X614	3.6e-78	260.1
AAV74543.1	X605_1	4.7e-13	45.7
BAQ00653.1	X612	9.2e-59	196.2
BAQ02105.1	X608	9.7e-06	21.6
BAQ00669.1	X612	1.3e-81	271.6
BAQ00687.1	X612	5.4e-83	276.1
BAQ00705.1	X612	4.2e-55	184.2
BAQ00719.1	X607	0.0021	13.8
ACH97162.1	X617	8.2e-42	140.6
BAQ00736.1	X614	1.5e-06	24.2
BAQ00746.1	X617	3.2e-47	158.4
ABB29906.1	X617	2.9e-39	132.2
AAN60459.1	X617	1.4e-24	84.0
ADI43271.1	X634	4.7e-115	381.6
BAQ00758.1	X633	2.2e-97	323.4
BAQ00768.1	X608_4	1.1e-137	456.6
ACA24852.1	X617	3e-44	148.6
BAQ00780.1	X611	8.1e-104	345.0
ACD37058.1	X615	1.8e-08	30.4
BAQ00795.1	X605_3	3.9e-134	444.5
BAQ00812.1	X617_1	2e-32	109.6
ACV67289.1	X617	5.8e-38	127.9
BAQ00846.1	X615	0.056	9.0
BAQ00858.1	X631	1.9e-92	307.2
BAQ00879.1	X633	1.9e-112	372.9
ACD37117.1	X605	7.3e-20	68.1
BAQ00893.1	X617	1.5e-12	44.4
BAQ00911.1	X608_4	1.1e-137	456.6
BAQ00927.1	X609	1.1e-14	50.9
BAQ00945.1	X608	9.7e-06	21.6
AAX07747.1	X610	2.3e-94	313.6
